entry_date,exit_date,entry_price,exit_price,pnl,result,balance,type
2024-03-25,2024-04-25,69920.5,64478.8,-5441.699999999997,loss,94558.3,long_exit
2024-04-25,2024-04-26,64478.8,63748.8,730.0,win,95288.3,short_exit
2024-04-26,2024-04-28,63748.8,63088.3,-660.5,loss,94627.8,long_exit
2024-04-28,2024-04-30,63088.3,60651.2,2437.100000000006,win,97064.90000000001,short_exit
2024-04-30,2024-05-02,60651.2,59036.7,-1614.5,loss,95450.40000000001,long_exit
2024-05-02,2024-05-06,59036.7,63142.8,-4106.100000000006,loss,91344.3,short_exit
2024-05-06,2024-05-07,63142.8,62296.0,-846.8000000000029,loss,90497.5,long_exit
2024-05-07,2024-05-09,62296.0,63050.1,-754.0999999999985,loss,89743.4,short_exit
2024-05-09,2024-05-11,63050.1,60809.2,-2240.9000000000015,loss,87502.5,long_exit
2024-05-11,2024-05-12,60809.2,61455.8,-646.6000000000058,loss,86855.9,short_exit
2024-05-12,2024-05-16,61455.8,65217.7,3761.899999999994,win,90617.79999999999,long_exit
2024-05-16,2024-05-17,65217.7,66980.0,-1762.300000000003,loss,88855.49999999999,short_exit
2024-05-17,2024-05-19,66980.0,66239.4,-740.6000000000058,loss,88114.89999999998,long_exit
2024-05-19,2024-05-23,66239.4,67999.9,-1760.5,loss,86354.39999999998,short_exit
2024-05-23,2024-05-24,67999.9,68584.1,584.2000000000116,win,86938.59999999999,long_exit
2024-05-24,2024-05-25,68584.1,69314.4,-730.2999999999884,loss,86208.3,short_exit
2024-05-25,2024-05-26,69314.4,68524.3,-790.0999999999913,loss,85418.20000000001,long_exit
2024-05-26,2024-05-28,68524.3,68440.5,83.80000000000291,win,85502.00000000001,short_exit
2024-05-28,2024-06-02,68440.5,67805.9,-634.6000000000058,loss,84867.40000000001,long_exit
2024-06-02,2024-06-05,67805.9,71133.3,-3327.4000000000087,loss,81540.0,short_exit
2024-06-05,2024-06-30,71133.3,62766.0,-8367.300000000003,loss,73172.7,long_exit
2024-06-30,2024-07-02,62766.0,62123.6,642.4000000000015,win,73815.1,short_exit
2024-07-02,2024-07-04,62123.6,57045.9,-5077.699999999997,loss,68737.40000000001,long_exit
2024-07-04,2024-07-06,57045.9,58216.0,-1170.0999999999985,loss,67567.30000000002,short_exit
2024-07-06,2024-07-11,58216.0,57315.5,-900.5,loss,66666.80000000002,long_exit
2024-07-11,2024-07-12,57315.5,57870.0,-554.5,loss,66112.30000000002,short_exit
2024-07-12,2024-08-09,57870.0,60808.6,2938.5999999999985,win,69050.90000000002,long_exit
2024-08-09,2024-08-10,60808.6,60889.9,-81.30000000000291,loss,68969.60000000002,short_exit
2024-08-10,2024-08-11,60889.9,58693.1,-2196.800000000003,loss,66772.80000000002,long_exit
2024-08-11,2024-08-14,58693.1,58648.1,45.0,win,66817.80000000002,short_exit
2024-08-14,2024-11-11,58648.1,88728.9,30080.799999999996,win,96898.6,long_exit
2024-11-11,2024-11-12,88728.9,87972.0,756.8999999999942,win,97655.5,short_exit
